Year,Month,NOAA CH4 (ppb),NOAA CH4 uncertainty
1983,7,1625.95,4.292
1983,8,1628.05,5.331
1983,9,1638.44,4.234
1983,10,1644.80,2.744
1983,11,1642.59,1.392
1983,12,1639.56,1.803
1984,1,1638.73,4.116
1984,2,1638.78,4.743
1984,3,1640.88,3.234
1984,4,1643.98,3.508
1984,5,1643.13,2.038
1984,6,1639.76,1.548
1984,7,1638.00,1.960
1984,8,1641.68,2.842
1984,9,1650.62,2.097
1984,10,1654.59,2.881
1984,11,1653.77,1.862
1984,12,1656.23,2.156
1985,1,1655.60,2.313
1985,2,1652.21,2.783
1985,3,1654.62,2.097
1985,4,1658.20,1.490
1985,5,1655.86,2.254
1985,6,1650.07,2.568
1985,7,1646.81,2.568
1985,8,1652.23,2.587
1985,9,1662.50,2.411
1985,10,1667.49,2.097
1985,11,1666.79,2.332
1985,12,1666.08,1.803
1986,1,1666.28,2.019
1986,2,1666.89,3.469
1986,3,1669.28,2.803
1986,4,1670.81,2.920
1986,5,1668.43,1.744
1986,6,1664.78,2.254
1986,7,1662.33,2.450
1986,8,1664.36,3.293
1986,9,1672.59,2.960
1986,10,1678.67,2.803
1986,11,1678.97,3.214
1986,12,1679.14,2.293
1987,1,1679.39,2.234
1987,2,1679.00,2.195
1987,3,1680.04,1.999
1987,4,1681.35,1.901
1987,5,1681.83,2.038
1987,6,1680.00,2.234
1987,7,1675.96,1.705
1987,8,1677.15,1.803
1987,9,1685.61,1.999
1987,10,1691.57,1.842
1987,11,1691.15,1.705
1987,12,1690.51,1.842
1988,1,1692.03,1.725
1988,2,1692.59,2.058
1988,3,1691.38,2.058
1988,4,1690.12,1.960
1988,5,1689.09,1.940
1988,6,1687.18,2.274
1988,7,1686.00,1.764
1988,8,1689.43,2.156
1988,9,1696.14,2.038
1988,10,1701.13,2.254
1988,11,1702.84,2.450
1988,12,1701.95,2.156
1989,1,1700.53,1.842
1989,2,1701.05,2.626
1989,3,1702.48,3.156
1989,4,1703.59,2.332
1989,5,1703.35,1.039
1989,6,1700.22,1.842
1989,7,1698.20,1.744
1989,8,1701.97,1.901
1989,9,1707.20,1.980
1989,10,1710.51,2.195
1989,11,1713.10,1.842
1989,12,1713.27,1.901
1990,1,1712.20,2.274
1990,2,1713.58,2.528
1990,3,1714.45,2.332
1990,4,1712.55,2.254
1990,5,1710.64,2.097
1990,6,1708.50,1.646
1990,7,1706.57,1.490
1990,8,1710.22,2.901
1990,9,1717.63,3.058
1990,10,1722.02,2.313
1990,11,1723.45,1.842
1990,12,1723.32,2.058
1991,1,1721.57,2.352
1991,2,1721.21,2.430
1991,3,1722.07,1.999
1991,4,1722.39,2.136
1991,5,1722.06,1.980
1991,6,1718.89,2.156
1991,7,1715.96,1.862
1991,8,1719.11,2.156
1991,9,1726.07,3.234
1991,10,1732.70,1.921
1991,11,1737.45,1.823
1991,12,1739.60,2.038
1992,1,1738.93,2.313
1992,2,1737.35,2.509
1992,3,1736.93,1.882
1992,4,1736.65,1.098
1992,5,1734.96,1.529
1992,6,1731.58,2.195
1992,7,1728.81,2.195
1992,8,1730.32,1.882
1992,9,1734.63,1.411
1992,10,1737.66,1.744
1992,11,1739.22,2.352
1992,12,1738.58,2.019
1993,1,1735.78,1.725
1993,2,1734.34,2.019
1993,3,1735.40,1.940
1993,4,1736.60,1.686
1993,5,1734.98,1.529
1993,6,1730.89,1.725
1993,7,1728.01,1.921
1993,8,1731.13,1.686
1993,9,1738.47,1.686
1993,10,1743.37,1.725
1993,11,1745.21,1.392
1993,12,1744.32,1.823
1994,1,1741.42,1.862
1994,2,1740.86,1.980
1994,3,1741.97,1.666
1994,4,1741.95,1.313
1994,5,1740.62,1.940
1994,6,1736.90,2.489
1994,7,1732.40,2.176
1994,8,1734.06,1.980
1994,9,1742.91,1.490
1994,10,1749.75,1.470
1994,11,1751.22,1.862
1994,12,1751.63,1.960
1995,1,1751.12,2.234
1995,2,1749.48,2.117
1995,3,1749.01,1.372
1995,4,1749.43,1.470
1995,5,1747.63,1.980
1995,6,1742.84,1.940
1995,7,1740.16,1.725
1995,8,1743.57,2.136
1995,9,1749.79,2.176
1995,10,1754.33,1.764
1995,11,1755.50,1.901
1995,12,1753.88,1.999
1996,1,1752.23,2.019
1996,2,1752.72,2.117
1996,3,1752.24,1.803
1996,4,1749.60,2.078
1996,5,1748.29,2.195
1996,6,1746.06,1.842
1996,7,1742.05,1.842
1996,8,1744.28,2.293
1996,9,1752.65,2.411
1996,10,1758.88,1.803
1996,11,1760.02,1.666
1996,12,1756.94,1.509
1997,1,1753.38,1.862
1997,2,1753.83,2.234
1997,3,1755.69,1.705
1997,4,1755.54,1.862
1997,5,1753.79,1.392
1997,6,1750.10,1.705
1997,7,1746.04,1.823
1997,8,1747.74,1.744
1997,9,1754.99,1.705
1997,10,1760.28,1.450
1997,11,1761.70,1.823
1997,12,1761.92,1.548
1998,1,1761.44,1.705
1998,2,1761.41,2.666
1998,3,1762.95,2.881
1998,4,1764.71,1.862
1998,5,1764.23,1.470
1998,6,1760.34,1.372
1998,7,1756.15,1.960
1998,8,1760.18,1.940
1998,9,1770.68,2.783
1998,10,1776.22,2.724
1998,11,1775.46,1.882
1998,12,1774.06,1.490
1999,1,1773.78,1.921
1999,2,1773.87,2.705
1999,3,1774.60,2.176
1999,4,1774.97,1.470
1999,5,1772.64,1.646
1999,6,1767.35,1.548
1999,7,1762.94,1.607
1999,8,1764.61,1.646
1999,9,1771.02,1.627
1999,10,1776.60,1.725
1999,11,1778.53,1.548
1999,12,1777.26,1.509
2000,1,1775.53,2.195
2000,2,1775.42,2.920
2000,3,1776.52,2.862
2000,4,1777.22,2.430
2000,5,1774.55,2.274
2000,6,1768.14,2.176
2000,7,1763.47,1.744
2000,8,1765.44,2.097
2000,9,1772.06,2.156
2000,10,1777.09,1.686
2000,11,1777.71,1.842
2000,12,1775.34,2.391
2001,1,1772.87,1.823
2001,2,1772.50,1.646
2001,3,1773.67,1.842
2001,4,1773.88,1.313
2001,5,1770.86,1.274
2001,6,1766.12,1.705
2001,7,1763.02,1.921
2001,8,1764.49,1.842
2001,9,1770.46,1.823
2001,10,1775.48,1.607
2001,11,1776.56,1.352
2001,12,1775.95,2.117
2002,1,1774.10,2.685
2002,2,1772.80,2.058
2002,3,1773.42,1.098
2002,4,1772.76,1.470
2002,5,1770.29,1.450
2002,6,1766.92,1.666
2002,7,1764.22,1.862
2002,8,1766.84,1.940
2002,9,1773.68,1.980
2002,10,1778.25,2.842
2002,11,1779.49,2.293
2002,12,1779.68,1.313
2003,1,1777.53,2.176
2003,2,1774.80,2.078
2003,3,1774.87,1.666
2003,4,1775.81,3.018
2003,5,1774.43,2.411
2003,6,1771.70,2.411
2003,7,1770.71,3.587
2003,8,1774.29,3.391
2003,9,1780.57,2.470
2003,10,1784.68,1.960
2003,11,1785.27,2.058
2003,12,1783.56,2.176
2004,1,1780.68,2.234
2004,2,1779.64,1.882
2004,3,1780.96,1.862
2004,4,1780.87,1.627
2004,5,1777.60,1.901
2004,6,1772.27,2.136
2004,7,1768.04,1.607
2004,8,1769.79,1.901
2004,9,1775.55,2.117
2004,10,1779.75,2.019
2004,11,1780.48,2.058
2004,12,1778.29,1.803
2005,1,1776.13,2.293
2005,2,1775.72,2.019
2005,3,1775.60,1.764
2005,4,1774.79,1.568
2005,5,1772.49,1.411
2005,6,1768.82,1.921
2005,7,1766.40,1.627
2005,8,1768.15,1.744
2005,9,1773.26,2.372
2005,10,1778.57,2.803
2005,11,1781.23,1.470
2005,12,1780.29,2.450
2006,1,1779.51,1.842
2006,2,1779.44,1.529
2006,3,1777.41,1.588
2006,4,1776.12,1.254
