"Title","OS visits to UK:All visits Thousands-NSA","UK visits abroad:All visits Thousands-NSA","OS visits to UK:Earnings: £ Millions-NSA","UK visits abroad:Expenditure: £ Millions-NSA","OS visits to the UK: Thousands - SA","UK visits abroad: All visits Thousands - SA","OS visits to UK :Earnings: £ Millions-(Cur.Price-SA)","UK visits abroad:Expenditure abroad: £ Millions -(Cur.Price-SA)"
"CDID","GMAA","GMAF","GMAK","GMAM","GMAT","GMAX","GMAZ","GMBB"
"PreUnit","","","£","£","","","£","£"
"Unit","","","m","m","","","m","m"
"Release Date","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024","17-05-2024"
"Next release","July 2024","July 2024","July 2024","July 2024","July 2024","July 2024","July 2024","July 2024"
"Important Notes","","","","","","","",""
"1980","12419","17505","2961","2738","","","",""
"1981","11451","19048","2970","3271","","","",""
"1982","11638","20611","3186","3640","","","",""
"1983","12464","20994","4002","4088","","","",""
"1984","13642","22074","4613","4666","","","",""
"1985","14450","21608","5442","4870","","","",""
"1986","13897","24948","5554","6082","13898","24947","5550","6080"
"1987","15565","27447","6259","7280","15563","27447","6260","7280"
"1988","15799","28830","6185","8215","15798","28830","6200","8200"
"1989","17339","31032","6945","9357","17339","31033","6950","9360"
"1990","18017","31150","7748","9884","18017","31150","7740","9885"
"1991","17125","30809","7386","9951","17126","30809","7390","9952"
"1992","18533","33832","7892","11243","18532","33831","7892","11242"
"1993","19866","36722","9487","12972","19866","36720","9487","12970"
"1994","20794","39630","9785","14364","20730","39700","9630","14220"
"1995","23538","41346","11762","15388","23520","41350","11720","15260"
"1996","25160","42053","12291","16223","25260","41850","12260","16240"
"1997","25515","45957","12243","16929","25590","46000","12240","16940"
"1998","25746","50873","12671","19490","25790","50980","12740","19650"
"1999","25394","53882","12499","22020","25410","53870","12550","22030"
"2000","25207","56837","12806","24250","25190","56620","12750","24150"
"2001","22832","58281","11305","25332","22820","58360","11400","25250"
"2002","24392","59498","11737","26962","24340","59620","11700","26930"
"2003","24874","61334","11856","28550","24820","61440","11850","28590"
"2004","27626","64174","13047","30285","27630","64040","12970","30210"
"2005","29970","66442","14247","32155","29980","66560","14320","32270"
"2006","32715","69535","16001","34411","32680","69550","15900","34570"
"2007","32778","69449","15959","35013","32800","69510","16000","35080"
"2008","31888","69008","16326","36837","31980","68790","16350","36900"
"2009","31072","63513","17593","34455","31026","63617","17599","34729"
"2010","30398","64649","17800","37129","30395","64606","17803","36953"
"2011","31887","67494","18974","37918","31874","67522","18897","37855"
"2012","32222","66857","19781","38475","32344","66674","19676","38219"
"2013","33567","68959","22237","41369","33519","68971","22163","41255"
"2014","35337","72207","23425","43067","35248","72225","23354","42984"
"2015","36792","77618","23838","46480","36712","77734","23898","46345"
"2016","39127","81758","25414","50863","39155","81458","25343","50528"
"2017","41080","87242","28396","54429","41021","87241","28176","54357"
"2018","40281","90571","26506","58129","40291","90637","26691","58162"
"2019","40857","93086","28447","62326","40814","93116","28358","62290"
"2020","11100","23827","6209","13767","","","",""
